OTUname	acc	Kingdom	Supergroup	Phylum	Tax1	Tax2	Species	Id	E-val	bit	length
OTU1023	EU039890.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Nassophorea	Nassula	Nassula_sp.	82.66	1,00E-95	342	398
OTU1027	AY381157.1	Eukaryota	stramenopiles	MASTs	MAST_3	MAST_3	HE000427.20	88.78	9,00E-142	496	410
OTU1029	EU780626.1	Eukaryota	Alveolata	MALVs	MALV_II_F_group	Guillou_26	Guillou_26	97.25	0.0	678	400
OTU1033	AM490985.2	Eukaryota	Haptophyceae[prymnesiophytes]	Syracosphaerales_Zygodiscales	Syracosphaerales	Rhabdosphaeraceae	Algirosphaera	99.75	0.0	737	402
OTU1035	FR846196.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	Silicofilosea	Thaumatomastix	99.76	0.0	754	411
OTU1038	EU818590.1	Eukaryota	Alveolata	MALVs	MALV_II_E_group	Guillou_22	Guillou_22	97.74	0.0	686	399
OTU1039	AY827955.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gymnodinium_sensu_lato	Gymnodinium_sp.MUCC284	92.56	3,00E-166	577	403
OTU104	FJ844428.1	Eukaryota	Alveolata	MALVs	MALV_IV_[Syndinales]	Syndiniales[groupIV]	Syndiniales[groupIV]	95.27	0.0	638	402
OTU1041	EU503538.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Oligohymenophorea	Hyalophysa	Hyalophysa_lwoffi	95.85	4,00E-180	623	386
OTU1042	EF173014.1	Eukaryota	Alveolata	MALVs	MALV_II_E_group	Guillou_14_15	Guillou_14_15	84.31	8,00E-108	383	408
OTU1044	AF472553.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.1	Guillou_II.1	95.51	0.0	641	401
OTU1045	AB295041.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Micromonas_CCMP1545_clade_D	88.25	3,00E-136	477	400
OTU1046	EF058237.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Peridiniales	Peridiniales_incerate_sedis_Pentapharsodinium	Glenodinium	97.51	0.0	688	402
OTU1047	AF022192.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gonyaulacales	Ceratiaceae_Ceratium	Ceratium	99.50	0.0	732	402
OTU1048	HM483394.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.5	Guillou_II.5	93.07	1,00E-169	588	404
OTU1049	DQ025753.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Micromonas_CCMP2099_Arctic	100.00	0.0	715	387
OTU105	AJ564772.1	Eukaryota	Telonemia	Telonemida	Telonemida	Telonema	Telonema	95.24	0.0	632	399
OTU1051	AF472553.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.1	Guillou_II.1	95.76	0.0	647	401
OTU1052	AM491027.2	Eukaryota	Haptophyceae[prymnesiophytes]	Prymnesiales	Prymnesiales	Prymnesiaceae	Platychrysis	97.76	0.0	693	402
OTU1053	X85388.1	Eukaryota	stramenopiles	Diatoms	Mediophyceae[mixed_new_class]	Cymatosirales	Papiliocellulus	91.22	7,00E-158	549	410
OTU1056	AJ246278.1	Eukaryota	Haptophyceae[prymnesiophytes]	Prymnesiales	Prymnesiales	Prymnesiaceae	Chrysochromulina	98.51	0.0	710	402
OTU1057	EU780604.1	Eukaryota	Alveolata	MALVs	MALV_III_[Syndinales]	Envrion_III.A	Envrion_III.A	91.63	2,00E-159	555	406
OTU1058	AF472553.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.1	Guillou_II.1	97.51	0.0	686	401
OTU106	AF274254.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Amphidinium	Amphidinium_longum	99.00	0.0	721	402
OTU1060	HM483394.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.3_4	Guillou_II.3_4	96.52	0.0	665	402
OTU1061	DQ146405.1	Eukaryota	Alveolata	MALVs	MALV_IV_[Syndinales]	Syndiniales[groupIV]	Syndiniales[groupIV]	100.00	0.0	741	401
OTU1063	AB017127.3	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Prasinophyceae	Pterosperma	90.35	3,00E-151	527	404
OTU1064	EF173017.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.6	Guillou_II.6	96.76	0.0	667	401
OTU1066	HM483394.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.3_4	Guillou_II.3_4	91.34	3,00E-157	547	404
OTU1068	EU793379.1	Eukaryota	Alveolata	MALVs	MALV_I_[Duboscquellida]	unclassified_MALV_1	unclassified_MALV_1	94.75	4,00E-180	623	400
OTU107	AB017127.3	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Prasinophyceae	Pterosperma	96.27	0.0	660	402
OTU1070	AY541683.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Choreotrichida	Pelagostrobilidium	Pelagostrobilidium_neptuni	94.43	1,00E-174	604	395
OTU1071	AM491027.2	Eukaryota	Haptophyceae[prymnesiophytes]	Prymnesiales	Prymnesiales	Prymnesiaceae	Platychrysis	97.26	0.0	682	402
OTU1076	EU500144.1	Eukaryota	stramenopiles	Labyrinthulida	Labyrinthulida	Thraustochytriidae	Oblongichytrium_PBS03	89.43	9,00E-147	512	407
OTU1079	EF172923.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.20	Guillou_II.20	93.30	3,00E-171	593	403
OTU108	FJ032664.1	Eukaryota	stramenopiles	MASTs	MAST_1	MAST_1c	DH18_4A29	99.75	0.0	739	403
OTU1080	EU780604.1	Eukaryota	Alveolata	MALVs	MALV_III_[Syndinales]	Environ_III.O	Environ_III.O	89.90	7,00E-148	516	406
OTU1081	EF173017.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.6	Guillou_II.6	92.29	2,00E-163	568	402
OTU1082	EF058252.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Woloszynskiaceae	Woloszynskia_halophila_strain_WHTV_S1	99.00	0.0	717	400
OTU1085	HM483394.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.5	Guillou_II.5	88.42	7,00E-138	483	406
OTU1086	EF173014.1	Eukaryota	Alveolata	MALVs	MALV_II_C_group	Guillou_9_11	Guillou_9_11	95.04	0.0	632	403
OTU1088	AY381217.1	Eukaryota	stramenopiles	MASTs	MAST_9	MAST_9	BL010625.31	96.51	0.0	662	401
OTU109	GQ365798.1	Eukaryota	Telonemia	Telonemida	Telonemida	Telonema	Telonema	97.24	0.0	676	399
OTU1090	AF022199.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gonyaulacales	Goniodomataceae_Alexandrium	Alexandrium_ostenfeldii_strain_LSE05	85.22	3,00E-116	411	406
OTU1091	EF058237.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Peridiniales	Peridiniales_incerate_sedis_Pentapharsodinium	Glenodinium	99.00	0.0	721	402
OTU1093	FJ422988.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Novistrombidium	Novistrombidium	96.96	0.0	664	395
OTU1094	Y16232.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Prorocentrales	Prorocentraceae_Prorocentrum	Prorocentrum_mexicanum	96.77	0.0	671	403
OTU1095	AY970653.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Peridiniales	Perdiniaceae_Peridinium	Peridinium_aciculiferum_isolate_PAER1	96.77	0.0	671	402
OTU1097	AJ564772.1	Eukaryota	Telonemia	Telonemida	Telonemida	Telonema	Telonema	99.75	0.0	732	399
OTU1098	FJ422988.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Novistrombidium	Novistrombidium	97.97	0.0	686	395
OTU1099	AY381157.1	Eukaryota	stramenopiles	MASTs	MAST_3	MAST_3	HE000427.20	99.01	0.0	725	404
OTU11	FN263030.1	Eukaryota	Alveolata	MALVs	MALV_I_[Duboscquellida]	unclassified_MALV_1	unclassified_MALV_1	96.27	0.0	658	402
OTU110	AB275066.1	Eukaryota	Choanoflagellates	Choanoflagellida	Crespedida	Crespedida	DSGM66	93.23	1,00E-169	588	399
OTU1101	EF173014.1	Eukaryota	Alveolata	MALVs	MALV_II_D_group	Guillou_13_23	Guillou_13_23	84.03	1,00E-105	375	407
OTU1102	AF363196.2	Eukaryota	stramenopiles	MASTs	MAST_7	MAST_7	ANT12_10	98.50	0.0	708	401
OTU1104	AY116220.1	Eukaryota	stramenopiles	MASTs	MAST_8	MAST_8	ANT12_26	91.48	1,00E-160	558	411
OTU1105	AM490983.2	Eukaryota	Haptophyceae[prymnesiophytes]	Syracosphaerales_Zygodiscales	Zygodiscales	Helicosphaeraceae	Helicosphaera	96.77	0.0	671	403
OTU1106	EF165120	Eukaryota	stramenopiles	Chrysophyceae[golden_algae]	Chrysophyceae[golden_algae]	unclassified_Chrysophyte	Chrysophyte_clone_MALINA_St320_ES069_E8	87.90	4,00E-135	473	405
OTU111	DQ186531.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Amphidinium	Amphidinium_cf._rhynchocephalum_UTEX_LB_1946	76.83	2,00E-30	126	246
OTU1113	EF172987.1	Eukaryota	Alveolata	MALVs	MALV_II_C_group	Guillou_9_11	Guillou_9_11	95.02	0.0	632	402
OTU1114	AB120003.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gyrodinium	Gyrodinium_rubrum	93.03	1,00E-169	588	402
OTU1116	AY919816	Eukaryota	stramenopiles	Chrysophyceae[golden_algae]	Chrysophyceae[golden_algae]	unclassified_Chrysophyte	Chrysophyte_Lake_Georges_clone_LG47_07	95.05	0.0	636	404
OTU1117	AF274260	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gymnodinium	Gymnodinium_sp.	99.24	0.0	712	394
OTU1118	DQ314810.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	Cryomonadida	Cryothecomonad_NW617.37	95.61	0.0	658	410
OTU112	FJ888597.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Peridiniales	Podolampadaceae_Podolampas	Podolampas	98.76	0.0	715	402
OTU1124	X73999.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Mantoniella	98.49	0.0	701	397
OTU1126	HM483394.1	Eukaryota	Alveolata	MALVs	MALV_II_G_group	Guillou_24	Guillou_24	88.70	2,00E-139	488	407
OTU1127	AF399162.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Choreotrichida	Tintinnids	Tintinnopsis	Tintinnopsis	90.91	9,00E-152	529	396
OTU1128	DQ779991.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gymnodinium_sensu_largo	Gymnodinium_aureolum	99.50	0.0	726	399
OTU1129	EU780604.1	Eukaryota	Alveolata	MALVs	MALV_III_[Syndinales]	Envrion_III.A	Envrion_III.A	96.77	0.0	671	403
OTU113	AY268045.1	Eukaryota	Rhizaria	Sticholonche	Sticholonche	Sticholonchidae	Sticholonche	92.06	6,00E-99	353	252
OTU1130	HQ912624.1	Eukaryota	stramenopiles	Diatoms	Mediophyceae[mixed_new_class]	Biddulphiales	Biddulphiopsis	87.80	7,00E-133	466	410
OTU1132	EF173014.1	Eukaryota	Alveolata	MALVs	MALV_II_C_group	Guillou_9_11	Guillou_9_11	94.79	0.0	627	403
OTU1135	GU819882.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	Environ_group_Ar1353	Dino_clone_Ar1353d50	87.59	9,00E-132	462	403
OTU1136	HM483394.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.3_4	Guillou_II.3_4	97.26	0.0	682	402
OTU1138	EF172798.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.7_36	Guillou_II.7_36	94.19	2,00E-173	601	396
OTU1139	FN690451.1	Eukaryota	Choanoflagellates	Choanoflagellida	Acanthoecida	Stephanoecidae	Diaphanoeca_1b_B4_Baltic_Ice	92.94	4,00E-170	590	411
OTU114	EF527108.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	Environ_group_NOR26.29	Dino_clone_SIF_1G6	99.75	0.0	737	402
OTU1142	AY881968.1	Eukaryota	stramenopiles	Diatoms	Bacillariophyceae[raphid	pennate_diatoms]	Bacillariales	Nitzschia	98.76	0.0	715	402
OTU1144	EF172955.1	Eukaryota	Alveolata	MALVs	MALV_II_D_group	Guillou_8	Guillou_8	93.53	7,00E-173	599	402
OTU1145	AJ506975.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Dinophysiales	Dinophysiaceae_Dinophysis	Dinophysis	99.75	0.0	737	402
OTU1147	AB246693.1	Eukaryota	Rhizaria	Polycystinea	Polycystinea	Spumellaria	Larcopyle	91.48	2,00E-159	555	411
OTU1148	DQ514884.1	Eukaryota	stramenopiles	Diatoms	Mediophyceae[mixed_new_class]	Thalassiosirales	Thalassiosira	99.26	0.0	732	405
OTU115	FJ032668.1	Eukaryota	Alveolata	MALVs	MALV_I_[Duboscquellida]	unclassified_MALV_1	unclassified_MALV_1	98.76	0.0	713	402
OTU1150	DQ303924.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	Cryomonadida	Protaspis	98.54	0.0	725	410
OTU1151	AF411273.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	Cryomonadida	Cryothecomonad_NW617.37	96.34	0.0	673	410
OTU1152	FN562450.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Mamiella	93.78	2,00E-173	601	402
OTU1154	EF172987.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.5	Guillou_II.5	90.07	2,00E-149	521	403
OTU1155	EU500144.1	Eukaryota	stramenopiles	MASTs	MAST_10	MAST_10	hotxp2a1	90.91	3,00E-156	544	407
OTU116	EF432538.1	Eukaryota	Choanoflagellates	Choanoflagellida	unclassified_Choanoflagellida	unclassified_Choanoflagellida	Choanoflagellida_sp._SL117	95.51	0.0	638	401
OTU1160	AM490984.2	Eukaryota	Haptophyceae[prymnesiophytes]	Coccosphaerales	Coccosphaerales	Pontosphaeraceae	Scyphosphaera	98.76	0.0	715	402
OTU1163	DQ779990.2	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	Environ_group_DinoRS24	Brachidinium	85.71	2,00E-119	422	406
OTU1166	AY381157.1	Eukaryota	stramenopiles	MASTs	MAST_3	MAST_3	HE000427.20	93.84	3,00E-176	610	406
OTU1168	AF472553.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.1	Guillou_II.1	96.52	0.0	664	402
OTU117	AF411273.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	Cryomonadida	Cryothecomonad_NW617.37	97.56	0.0	701	410
OTU1170	FJ422988.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Novistrombidium	Novistrombidium	97.72	0.0	680	395
OTU1174	DQ314813.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	unclassified_Cercozoa	Cercozoa_clone_NOR46.15	97.32	0.0	697	410
OTU1175	AB120001.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gyrodinium	Gyrodinium_spirale	98.76	0.0	715	402
OTU118	DQ314810.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	Cryomonadida	Cryothecomonad_NW617.37	99.51	0.0	747	410
OTU1183	AB120002.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gyrodinium	Gyrodinium_fusiforme	98.76	0.0	715	402
OTU1184	AF509625.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Dolichomastix	95.49	0.0	638	399
OTU1186	DQ314810.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	Cryomonadida	Cryothecomonad_NW617.37	95.85	0.0	664	410
OTU1188	AB295041.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Cochlodinium	Cochlodinium_fulvescens	87.56	3,00E-131	460	402
OTU1189	FJ888597.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gonyaulacales	Goniodomataceae_Alexandrium	Alexandrium_sp._CCMP1911_clone_12	84.94	4,00E-115	407	405
OTU119	AJ786648.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Choreotrichida	Parastrombidinopsis	Parastrombidinopsis_shimi	89.47	7,00E-143	499	399
OTU1193	EU818590.1	Eukaryota	Alveolata	MALVs	MALV_II_E_group	Guillou_22	Guillou_22	91.23	1,00E-155	542	399
OTU1195	AY954993.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Micromonas_CCMP1195_clade_C	98.99	0.0	712	397
OTU1196	FJ590769.1	Eukaryota	stramenopiles	Diatoms	Mediophyceae[mixed_new_class]	Thalassiosirales	Minidiscus	99.01	0.0	726	405
OTU120	EF165120	Eukaryota	stramenopiles	Chrysophyceae[golden_algae]	Chrysophyceae[golden_algae]	Chromulinales	Kephyrion_CCMP3057	88.42	2,00E-138	484	406
OTU1203	FN599060.1	Eukaryota	Haptophyceae[prymnesiophytes]	Prymnesiales	Prymnesiales	Prymnesiaceae	Chrysochromulina	99.25	0.0	726	402
OTU1204	AF472553.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.1	Guillou_II.1	93.53	2,00E-172	597	402
OTU1205	DQ647534.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	unclassified_Cercozoa	Cercozoa_clone_AD6.07	91.76	2,00E-98	351	255
OTU1207	HM596542.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Uncultured_Arctic_clade	Uncultured_Arctic_clade	uncultured_Arctic_clade1	85.75	2,00E-119	422	407
OTU1208	AY541684.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	Strombidium	98.22	0.0	689	394
OTU1209	AY665083.1	Eukaryota	Katablepharidophyta	Katablepharidaceae	Katablepharidaceae	unclassified_Katablepharidaceae	Katablepharidophyte_clone_SCM37C29	97.49	0.0	682	399
OTU121	DQ093369.1	Eukaryota	stramenopiles	Diatoms	Mediophyceae[mixed_new_class]	Thalassiosirales	Thalassiosira	98.52	0.0	715	406
OTU1210	AB017127.3	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Prasinophyceae	Pterosperma	96.00	0.0	651	400
OTU1211	EU371175.1	Eukaryota	Choanoflagellates	Choanoflagellida	Acanthoecida	Stephanoecidae	Diaphanoeca_NPK2_136	94.06	1,00E-174	604	404
OTU1212	HQ869322.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	unclassified_Cercozoa	Cercozoa_clone_SHBA662	85.71	3,00E-116	411	399
OTU1218	AY143573.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Choreotrichida	Strobilidium	Strobilidium_caudatum	92.21	1,00E-160	558	398
OTU122	EF172798.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.7_36	Guillou_II.7_36	95.29	0.0	638	403
OTU1222	EF526932.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	Cryomonadida	Cercozoa_clone_SA24H12	98.78	0.0	730	411
OTU1225	AB183673.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gonyaulacales	Goniodomataceae_Alexandrium	Alexandrium_ostenfeldii_strain_LSE05	86.24	7,00E-123	433	407
OTU1228	DQ314813.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	unclassified_Cercozoa	Cercozoa_clone_NOR46.15	96.10	0.0	669	410
OTU123	EU090013.1	Eukaryota	stramenopiles	Diatoms	Mediophyceae[mixed_new_class]	Chaetocerotales	Chaetoceros	100.00	0.0	743	402
OTU1235	AM490984.2	Eukaryota	Haptophyceae[prymnesiophytes]	Coccosphaerales	Coccosphaerales	Pontosphaeraceae	Scyphosphaera	95.05	0.0	634	404
OTU1238	FJ422988.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Novistrombidium	Novistrombidium	98.74	0.0	702	396
OTU1247	AJ404886.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Prasinophyceae	Pyramimonas	94.80	0.0	627	404
OTU125	X65149.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Colpodea	Sorogena	Sorogena_stoianovitchae	80.10	3,00E-77	281	392
OTU1251	FJ422988.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Novistrombidium	Novistrombidium	97.72	0.0	680	395
OTU1253	AF472553.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.1	Guillou_II.1	97.51	0.0	686	401
OTU1256	DQ314811.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	Cryomonadida	Cryothecomonad_NOR46.14	98.76	0.0	717	404
OTU126	NULL	No	NULL	NULL	NULL	NULL
OTU1261	FJ032668.1	Eukaryota	Alveolata	MALVs	MALV_I_[Duboscquellida]	unclassified_MALV_1	unclassified_MALV_1	95.52	0.0	643	402
OTU1265	EU500144.1	Eukaryota	stramenopiles	Labyrinthulida	Labyrinthulida	Thraustochytriidae	Oblongichytrium_PBS03	89.98	2,00E-149	521	409
OTU1267	EF140623.1	Eukaryota	stramenopiles	Diatoms	Bacillariophyceae[raphid	pennate_diatoms]	Bacillariales	Fragilariopsis	99.26	0.0	734	406
OTU1268	HQ829180.1	Eukaryota	Choanoflagellates	Choanoflagellida	Acanthoecida	Stephanoecidae	Stephanoecidae_SL163	87.56	3,00E-131	460	402
OTU127	FJ032668.1	Eukaryota	Alveolata	MALVs	MALV_I_[Duboscquellida]	unclassified_MALV_1	unclassified_MALV_1	100.00	0.0	743	402
OTU128	AB474963	Eukaryota	stramenopiles	Chrysophyceae[golden_algae]	Chrysophyceae[golden_algae]	Hibberdiales	Chromophyton	90.62	5,00E-154	536	405
OTU1280	EF526932.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	Cryomonadida	Cercozoa_clone_SA24H12	98.53	0.0	719	408
OTU129	FJ888597.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gonyaulacales	Goniodomataceae_Alexandrium	Alexandrium_sp._CCMP1911_clone_12	85.19	1,00E-116	412	405
OTU1291	FJ422988.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Novistrombidium	Novistrombidium	97.97	0.0	686	395
OTU1293	AY116220.1	Eukaryota	stramenopiles	MASTs	MAST_8	MAST_8	ANT12_26	94.15	5,00E-179	619	410
